,Cities,Latitude,Temperature,Humidity,Clouds,Wind
0,taolanaro,45.36,73.38,78,40,17.22
1,saint-philippe,-53.16,41.97,60,0,9.17
2,punta arenas,-22.97,76.06,88,40,2.71
3,arraial do cabo,39.95,68,56,1,13.87
4,grand river south east,24.09,83.99,33,0,11.88
5,kodiak,-54.81,33.8,80,75,11.41
6,aswan,15.34,70.49,97,92,4.72
7,ushuaia,42.65,67.24,70,75,16.11
8,vaini,-23.12,68.6,100,92,2.37
9,albany,68.75,37.1,95,92,2.93
10,rikitea,63.75,32,100,75,3.36
11,cherskiy,-29.95,59,77,75,12.75
12,louisbourg,10.24,80.6,88,20,6.93
13,iqaluit,-23.58,59.15,62,0,11.77
14,coquimbo,68.22,43.57,60,75,8.05
15,esperance,30.15,59.33,70,0,3.04
16,bluff,6.8,86,74,20,13.87
17,amderma,-51.62,42.8,48,40,6.93
18,aklavik,-46.19,46.19,93,12,4.83
19,duki,5.28,75.2,100,75,3.04
20,georgetown,10.57,78.32,100,68,16.24
21,rio gallegos,-33.59,61.4,99,0,12.66
22,mataura,10.53,76.08,83,40,2.48
23,victoria,69.7,43.22,100,24,4.16
24,kavaratti,3.07,85.07,100,12,7.74
25,port alfred,-33.02,64.46,100,0,5.39
26,chavakkad,36.96,92.7,18,1,5.82
27,pevek,-33.93,53.6,76,75,5.82
28,butaritari,12.49,85.07,89,20,8.41
29,east london,11,74.27,97,80,2.59
30,madera,-3.44,74.36,100,92,7.4
31,cape town,-34.42,37.91,93,0,1.14
32,oussouye,55.34,60.06,57,1,16.11
33,dingle,47.38,57.2,62,90,13.87
34,mayumba,37.4,71.75,100,76,12.44
35,mys shmidta,-25.41,68.87,67,0,3.27
36,hermanus,-33.21,38.27,78,0,3.27
37,ketchikan,-30.97,40.07,22,0,7.74
38,barentsburg,22.08,82.26,90,75,10.29
39,cap-aux-meules,21.44,84.02,84,40,10.29
40,wajima,-9.01,76.25,81,68,8.75
41,taltal,60.14,36.74,99,88,8.19
42,jamestown,52.43,62.6,82,0,6.71
43,carnarvon,37.14,73.4,69,0,4.7
44,kapaa,-42.48,50.96,94,92,9.42
45,ahuimanu,-30.17,71.75,83,8,5.73
46,maragogi,-23.53,58.88,68,0,10.76
47,nanortalik,64.84,48.58,93,90,5.61
48,zlynka,-0.39,60.8,55,75,23.04
49,lagoa,-20.63,67.07,98,12,1.92
50,castro,-4.97,72.47,92,20,1.7
51,cidreira,19.71,82.94,65,75,4.7
52,emerald,58.52,42.8,30,5,3.36
53,fairbanks,41.54,59.6,81,48,2.59
54,mancio lima,-35.17,54.74,100,88,12.77
55,san cristobal,43.52,64.4,100,75,3.36
56,ponta do sol,-23.87,71.84,100,80,8.08
57,lusambo,-38.31,71.3,27,0,14.67
58,hilo,-42.78,50,53,75,8.05
59,high level,39.45,60.8,72,0,2.59
60,kos,-26.65,57.17,75,0,23.62
61,ahipara,62.16,34.22,80,0,5.39
62,naron,71.98,41.33,94,92,15.79
63,inhambane,25.87,93.02,58,20,16.11
64,barrow,-9.8,76.07,100,92,5.28
65,new norfolk,4.94,86,66,0,10.29
66,saint george,-33.64,52.76,100,44,9.64
67,luderitz,20.35,83.99,96,36,7.96
68,suntar,-9.08,92.99,25,0,8.3
69,khatanga,-34,59.78,92,0,19.48
70,matamoros,-46.28,47,84,8,5.5
71,atuona,69.22,28.4,50,0,2.24
72,hvammstangi,5.77,55.82,100,92,2.59
73,cayenne,20.89,83.59,59,20,16.11
74,busselton,62.78,59,93,0,11.41
75,illoqqortoormiut,51.3,38.54,100,92,9.75
76,baracoa,38,79.07,51,1,11.41
77,bom jesus,2.67,81.2,100,68,7.07
78,kruisfontein,47.65,62.39,62,20,12.33
79,kaitangata,73.51,39.62,96,92,10.09
80,ilulissat,11.28,80.6,88,20,6.93
81,shakiso,39.31,75.02,76,75,3.36
82,kahului,17.54,75.2,100,20,2.24
83,sola,20.71,89.6,66,40,13.87
84,vershino-shakhtaminskiy,-42.88,50,53,75,8.05
85,pinole,39.52,72.74,13,0,3.15
86,kudahuvadhoo,62.45,35.6,51,40,8.05
87,makat,-8.75,89.75,54,12,2.15
88,dikson,69.49,42.86,92,80,7.85
89,bubaque,14.9,79.49,93,0,14.34
90,port elizabeth,67.46,34.22,97,92,3.49
91,san quintin,63.29,36.56,75,8,6.51
92,ixtapa,41.28,66.43,68,1,17.22
93,hobart,39.5,59,62,0,4.7
94,moroni,-33.69,73.55,78,20,7.74
95,yellowknife,-27.29,53.39,88,0,2.26
96,sentyabrskiy,-19.06,78.8,74,75,11.41
97,porto velho,-8.28,96.59,36,12,3.71
98,bolshaya murta,-21.21,77,61,20,16.11
99,talnakh,-45.41,41.78,92,12,3.6
100,sao filipe,38.52,75.2,88,40,14.99
101,srednekolymsk,69.44,42.8,52,40,18.34
102,nyurba,-34.53,53.6,71,0,5.82
103,nantucket,38.55,64.4,100,75,3.36
104,panjakent,65.58,44.66,97,24,18.25
105,chuy,69.38,42.05,93,64,3.94
106,heilbron,-20.34,73.4,73,75,11.41
107,alofi,-16.48,77.96,100,92,20.27
108,tamandare,53.99,45.47,60,80,9.75
109,avarua,-23.31,59.15,31,48,2.93
110,te anau,51.26,44.6,93,90,17.22
111,ribeira grande,78.22,33.8,50,75,18.34
112,tuktoyaktuk,38.18,80.62,83,0,2.24
113,bredasdorp,24.34,83.63,100,92,4.94
114,kogota,66.56,48.62,97,68,6.96
115,lavrentiya,-20.46,60.32,18,0,9.86
116,leningradskiy,-22.28,64.4,93,90,3.36
117,bambous virieux,77.48,20.9,100,68,14.23
118,faanui,48.04,53.6,87,90,9.17
119,skovorodino,33.93,74.99,96,64,9.53
120,rehoboth,66.15,33.8,55,90,4.7
121,moose factory,-1.64,64.4,52,40,3.36
122,longyearbyen,11.67,82.19,99,68,2.26
123,fortuna,5.67,82.37,100,44,13.44
124,umzimvubu,47.92,23,92,0,6.17
125,ishigaki,-43.3,63.29,31,68,10.65
126,aksarka,65.28,42.8,45,20,11.41
127,samusu,3.52,70.58,97,12,2.26
128,uyuni,57.82,69.8,60,0,10.29
129,noumea,50.41,53.39,57,12,8.08
130,qaanaaq,31.78,61.94,90,48,2.93
131,bonaventure,42.84,49.52,46,0,5.06
132,katsuura,53.65,32,73,90,9.17
133,pangnirtung,58.81,42.8,38,20,3.38
134,la asuncion,45.62,55.4,50,1,10.29
135,port blair,67.67,46.4,93,40,3.36
136,ugoofaaru,47.66,46.4,100,20,8.05
137,ulaanbaatar,-0.86,79.94,100,0,13.78
138,rawson,63.05,46.64,99,92,14.9
139,norman wells,40.33,69.62,56,40,10.29
140,yokadouma,43.32,60.41,100,92,13.56
141,juba,59.7,46.4,100,90,4.47
142,semey,63.84,39.2,69,75,16.11
143,jiangyou,-8.65,75.2,83,20,2.24
144,hami,10.21,74.45,100,24,3.38
145,mackay,6.86,71.84,98,88,5.06
146,fort nelson,-23.68,69.32,50,8,10.98
147,port hawkesbury,42.9,46.82,96,68,1.7
148,sorland,-0.74,75.2,64,0,16.11
149,torbay,39.84,66.2,45,75,13.42
150,sorong,42.19,68.24,19,0,6.51
151,beringovskiy,37.26,68,94,0,3.36
152,basco,15.86,77,41,75,9.17
153,nemuro,-8.93,59.24,86,0,1.81
154,arman,71.03,51.8,66,40,14.99
155,grindavik,63.73,51.8,81,40,20.8
156,denpasar,20.89,73.19,99,0,1.59
157,thanh hoa,25.52,74.45,95,36,2.71
158,akom,22.89,86.13,70,40,3.36
159,mookane,69.19,50,61,0,4.47
160,preobrazheniye,22.68,90.2,18,76,8.75
161,puerto ayora,59.58,46.4,100,90,4.47
162,isfana,43.74,71.93,83,8,27.87
163,harer,7,73.37,97,92,5.73
164,campobello di licata,47.82,65.3,63,0,4.47
165,puerto escondido,53.76,52.74,81,75,14.99
166,airai,-25.19,77,44,0,3.36
167,gumushane,70,28.55,94,56,3.83
168,mehamn,50.52,40.7,96,88,16.69
169,sistranda,49.72,41,86,90,17.22
170,chauk,20.47,73.28,89,36,9.75
171,tura,28.66,73.4,69,0,9.17
172,cabo san lucas,65.61,35.6,59,92,17.22
173,snezhnogorsk,-28.55,57.89,92,48,27.42
174,taoudenni,-18.92,53.6,93,20,8.05
175,ola,36.95,77.34,78,40,3.36
176,haapu,40.74,73.94,4,1,8.05
177,goderich,-9.2,72.74,69,8,2.26
178,yomitan,9.49,77.24,96,0,24.07
179,gbarnga,68.05,45.65,77,8,17.47
180,urdzhar,3.17,92.99,30,12,5.17
181,zaporizhzhya,-23.89,79.13,81,24,4.27
182,preston,4.14,78.41,100,100,2.04
183,rio branco do sul,16.86,86,70,40,11.41
184,ust-kuyga,43.35,56.18,88,0,3.94
185,nizhniy tsasuchey,62.1,32.42,83,0,6.06
186,geraldton,49.6,42.59,96,92,11.43
187,phulabani,-12.58,70.04,100,56,4.61
188,los llanos de aridane,70.47,24.8,100,75,5.82
189,tasiilaq,32.3,82.4,78,75,19.46
190,oranjemund,32.86,60.8,31,0,6.93
191,manjakandriana,-20.31,59,87,0,4.7
192,erzin,-3.66,81.02,100,0,3.94
193,kegayli,-31.47,35.57,61,0,3.04
194,west wendover,26.12,80.38,87,75,5.61
195,bukama,28.17,68.24,88,32,1.59
196,bandarbeyla,48.94,57.2,100,90,17.22
197,ostrovnoy,-19.55,71.3,100,0,16.24
198,camopi,-45.58,48.96,71,90,4.7
199,paranhos,3.81,75.53,84,32,1.25
200,meulaboh,7.04,78.8,88,90,5.82
201,acapulco,32.17,65.9,90,56,3.27
202,zhanaozen,-31.68,45.2,77,0,4.38
203,berdigestyakh,29.29,75.2,94,40,2.24
204,manzhouli,-46.43,41.96,90,80,10.65
205,benguela,23.55,76.7,81,88,7.63
206,belushya guba,-3.71,80.6,78,0,11.41
207,clyde river,1.74,67.97,99,24,2.37
208,jiddah,37.86,39.2,93,0,3.94
209,hamilton,22.57,83.54,90,0,1.36
210,birjand,46.45,48.98,49,88,4.72
211,port hedland,59.06,51.14,90,24,4.61
212,namatanai,-20.41,73.4,73,75,11.41
213,calvinia,45.6,57.2,76,0,2.24
214,itoman,-13.71,71.6,30,0,9.17
215,along,35.63,43.22,72,0,2.26
216,ucluelet,-21.48,82.55,82,8,2.59
217,isangel,10.31,73.19,81,8,2.59
218,asau,7.45,76.79,98,32,2.82
219,paytug,35.55,73.4,83,75,4.7
220,coihaique,55.97,57.6,82,0,2.82
221,bondo,36.58,73.4,94,75,13.87
222,kloulklubed,54.94,40.97,88,56,2.71
223,gushi,-24.32,70.04,100,36,5.17
224,vredendal,-24.98,86,48,0,9.17
225,ninghai,33.64,88.67,20,56,5.39
226,mar del plata,-11.38,75.53,64,0,7.4
227,banswara,-2.54,66.62,91,0,2.26
228,vila velha,34.92,74.59,60,0,5.82
229,sibolga,-38.38,51.95,99,44,10.65
230,taiyuan,17.01,75.2,73,0,4.7
231,sur,-2.68,71.12,92,12,5.17
232,vostok,-33.48,46.4,93,0,1.92
233,kargasok,65.42,34.67,100,68,3.6
234,mahebourg,-38.55,66.8,39,0,11.21
235,souillac,-34.72,48.35,100,8,3.38
236,pisco,36.79,68,94,0,3.36
237,houma,28.5,73.4,78,20,13.87
238,jardim,59.74,52.85,97,88,5.17
239,miri,57.48,47.21,87,20,17.22
240,nizhneyansk,71.64,27.74,100,32,11.65
241,baculin,-31.25,89.48,41,0,8.41
242,sakaiminato,-20.21,73.4,73,75,11.41
243,babanusah,2.02,71.84,95,64,1.59
244,ivanteyevka,28.42,73.55,50,0,8.19
245,yamada,25.38,72.65,100,92,0.69
246,mamlyutka,43.56,74.7,78,0,2.24
247,peruibe,-5.81,78.8,74,20,12.75
248,san alberto,64.92,37.73,81,12,7.74
249,hit,-15.77,78.8,15,0,9.17
250,masuguru,45.41,63.2,100,68,15.57
251,labuhan,7.99,73.64,95,68,5.39
252,lasa,57.79,48.2,87,76,18.34
253,warrnambool,-6.64,84.44,64,0,3.71
254,salalah,53.23,50.68,87,0,10.29
255,pangkalanbuun,-21.8,81.02,85,8,3.15
256,lithgow,0.12,78.77,100,0,8.41
257,maniitsoq,54.79,53.6,81,40,26.4
258,karamea,33.19,90.77,46,40,8.05
259,necochea,-12.74,89.6,43,0,6.93
260,port lincoln,7.42,74.63,95,8,8.52
261,scicli,-33.68,81.02,47,0,4.16
262,puerto del rosario,61.92,47.45,100,92,5.06
263,sozimskiy,24.63,86,17,0,6.17
264,inverness,32.61,89.83,48,20,10.29
265,tiksi,39.62,75.7,76,40,8.05
266,gulshat,29.03,74.54,47,0,6.29
267,rafaela,-34.61,80.56,45,0,5.82
268,bolungarvik,5.39,76.34,77,0,6.4
269,quatre cocos,8.96,47.81,88,56,2.37
270,kapit,-35.36,46.4,70,0,9.17
271,matay,60.79,48.92,96,90,11.41
272,myitkyina,12.18,76.79,100,80,7.07
273,saint-joseph,-28.24,71.6,88,0,8.05
274,natal,5.43,72.47,99,88,3.6
275,katha,49.98,20.27,71,24,2.15
276,tarko-sale,59.7,62.6,77,0,13.42
277,kununurra,-5.2,79.04,78,12,16.02
278,wakkanai,30.3,78.35,68,1,9.17
279,daru,57.43,64.73,75,8,12.77
280,dalvik,71.97,40.34,95,92,10.42
281,sao felix do xingu,44.08,78.39,88,40,17.22
282,lincoln,50.68,49.52,99,64,18.25
283,rio brilhante,53.52,51.89,87,92,5.82
284,bontang,53.41,52.77,81,75,14.99
285,wladyslawowo,62.22,41.96,89,56,4.16
286,korla,22.93,71.3,48,0,3.15
287,avera,-34.91,78.8,61,40,11.41
288,vilhena,27.97,83,49,0,11.54
289,attawapiskat,-0.91,73.1,100,0,5.84
290,kalmunai,-36.62,76.7,32,12,7.63
291,san pedro,-22.4,49.7,85,0,2.59
292,evensk,33.08,71.6,73,40,8.05
293,riyadh,18.69,81.2,23,0,5.84
294,auburn,1.61,77.6,89,36,3.38
295,vardo,57.8,46.28,93,92,5.39
296,andenes,8.43,79.49,100,56,4.38
297,solsvik,47.13,71.06,35,1,6.93
298,jalu,21.32,83.97,59,40,9.17
299,buenos aires,-41.87,52.94,98,92,13.78
300,obo,60.72,37.4,95,88,3.36
301,lebu,4.68,69.59,99,92,6.17
302,ulladulla,15.17,57.71,30,76,4.94
303,bethel,-3.31,76.34,100,92,7.85
304,san policarpo,34.07,81.5,37,20,13.87
305,karaul,7.14,65.09,70,32,4.05
306,imbituba,68.01,49.07,64,36,9.64
307,naze,24.17,81.65,66,12,7.29
308,ulaangom,-34.85,46.4,87,0,6.4
309,nikolskoye,48.55,64.04,46,75,9.17
310,touros,42.13,68.36,60,40,12.75
311,harper,-2.57,83.45,100,0,7.4
312,velikooktyabrskiy,-29.41,83.36,34,0,3.15
313,saskylakh,-0.6,81.2,100,56,4.05
314,shelburne,21.64,79.49,86,56,14.9
315,severo-kurilsk,60.89,31.88,76,0,4.72
316,atherton,-7.68,61.31,86,36,6.06
317,liverpool,61.68,28.1,81,36,2.93
318,aykino,29.96,77.87,96,44,9.31
319,nizwa,-3.36,67.43,98,92,2.04
320,krasnoselkup,28.58,73.4,100,90,6.93
321,maldonado,37.02,73.4,69,0,3.36
322,guerrero negro,55.74,35.6,69,75,10.29
323,biak,71,51.8,66,40,19.46
324,santa rosa,51.96,45.02,92,0,8.97
325,ihosy,52.04,51.8,76,0,8.95
326,camacha,68.31,34.22,100,64,4.38
327,bilma,5.56,75.44,98,8,2.93
328,ouesso,1.56,73.4,94,75,1.12
329,tigil,63.93,55.01,88,88,8.52
330,nakhon si thammarat,-2.54,71.93,90,0,6.29
331,moses lake,27.51,92.44,54,1,8.05
332,ewa beach,-31.97,50.15,64,80,3.04
333,ancud,-14.9,71.39,98,92,10.2
334,qaqortoq,35.73,66.2,100,75,2.24
335,nanga eboko,40.8,64.6,65,1,6.93
336,sayyan,37.31,70.31,86,0,14.79
337,amahai,48.59,37.64,80,0,4.61
338,ontario,44.02,55.15,58,90,13.87
339,ginir,29.7,72.47,83,0,3.27
340,lovozero,3.04,65.99,95,44,2.71
341,palanpur,0.56,72.83,93,0,2.93
342,crab hill,64.42,45.2,99,92,23.85
343,palmer,45.32,63.02,68,24,8.41
344,havre,53.22,53.1,93,40,11.41
345,rockland,65.8,42.32,85,12,12.77
346,kavieng,72.79,30.08,100,8,6.96
347,la rioja,30.12,70.04,24,100,3.83
348,hithadhoo,34.68,74.23,100,90,10.29
349,porbandar,31.76,78.87,92,1,4.7
350,miahuatlan,55.1,39.2,48,75,9.17
351,amga,21.69,71.66,96,80,3.15
352,ilula,36.62,69.64,32,1,14.99
353,baykit,10.52,67.7,97,68,5.5
354,shenjiamen,24.75,80.78,94,40,4.7
355,nabire,48.95,50.34,75,0,6.93
356,dwarka,18.9,83.99,25,0,2.71
357,faro,12.45,80.48,68,48,3.49
358,thompson,40.36,62.57,70,20,3.94
359,havoysund,-4.88,97.31,37,8,6.73
360,ngukurr,60.61,51.8,93,76,13.87
361,buribay,41.42,60.41,75,0,2.93
362,aksu,37.17,68.6,44,92,17.25
363,kangaatsiaq,65.95,41.24,89,76,6.17
364,banda aceh,60.42,33.68,71,0,5.84
365,kuching,13.64,80.39,61,0,5.5
366,muyezerskiy,-9.43,73.4,100,40,2.24
367,sampit,-26.98,81.65,74,0,2.37
368,laredo,-15.19,67.16,98,88,9.19
369,broken hill,-7.02,80.75,98,0,8.75
370,antalaha,54.52,60.8,36,20,16.11
371,hasaki,58.53,69.8,60,0,10.29
372,eureka,43.3,44.3,87,32,5.39
373,tabarqah,-9.47,75.2,94,90,16.11
374,vaitupu,-20.67,78.8,74,0,19.46
375,aljezur,42.59,66.36,83,90,10.29
376,shubarshi,13.32,80.3,100,44,4.72
377,rochester,24.47,89.6,79,0,5.82
378,tiznit,-22.28,64.64,98,80,2.37
379,watsa,5.97,75.17,100,92,7.74
380,makokou,53.6,39.2,93,8,2.24
381,provideniya,-12.78,72.56,23,88,5.39
382,beyneu,25.05,74.99,93,0,4.94
383,groningen,14.04,82.4,88,75,4.7
384,turukhansk,16.38,87.8,58,75,3.36
385,upernavik,70.62,36.38,99,92,3.71
386,shahr-e babak,24.35,75.17,91,0,10.65
387,bengkulu,44.39,57.29,77,90,19.46
388,nara,37.46,76.95,82,75,11.41
389,palestine,-20.45,79.22,77,36,1.36
390,la ronge,52.47,51.85,76,56,14.99
391,sendhwa,56.42,50,87,88,14.99
392,pacific grove,51.13,51.8,76,90,20.13
393,kaduna,56.42,47.72,96,92,16.91
394,yilan,25.38,81.74,67,0,6.62
395,saint-pierre,-39.03,77,23,0,20.8
396,araouane,15.74,83.86,59,75,11.41
397,hadejia,39.96,70.85,100,8,3.15
398,belmonte,2.18,81.65,72,36,2.15
399,carauari,-43.03,50,53,75,8.05
400,falun,50.71,52.59,76,0,10.29
401,saldanha,51.1,49.07,88,80,15.79
402,sitka,5.24,75.89,89,48,6.62
403,aykhal,45.4,56.36,100,0,2.15
404,ust-maya,37.47,53.6,50,0,4.7
405,moussoro,7.1,73.64,98,92,1.7
406,honiara,27.58,77.87,88,48,16.02
407,san patricio,-3.78,73.1,91,48,2.82
408,namibe,37.62,56,95,92,0.58
409,sidi bu zayd,50.23,46.4,93,90,8.05
410,sumenep,-7.84,66.2,77,20,10.29
411,terrace,-34.61,82.19,20,0,9.53
412,koosa,68.36,42.15,36,75,5.82
413,dashitou,-6.23,67.79,72,64,2.82
414,port moresby,-15.62,85.07,39,36,2.71
415,guarapari,2.43,75.62,100,76,3.15
416,greenfield,-2.97,60.68,93,68,0.92
417,san andres,29.85,48.44,100,92,1.48
418,abu dhabi,59.08,37.46,92,0,3.27
419,nova friburgo,1.87,75.71,100,92,8.75
420,weligama,62.65,28.64,97,0,2.93
421,belyy yar,15.8,81.92,100,76,12.21
422,huambo,-17.73,77.15,99,0,16.24
423,jiwani,46.69,66.2,52,0,4.47
424,puerto cabezas,47.25,47.81,99,80,8.52
425,champerico,-24.3,86,37,68,6.93
426,chokurdakh,9.35,80.84,89,36,9.53
427,jati,45.52,70.16,49,75,5.82
428,bar harbor,-21.64,78.8,69,0,11.41
429,half moon bay,64.25,45.56,97,88,20.83
430,ribas do rio pardo,-3.3,64.64,75,12,9.64
431,broome,31.56,96.8,12,0,6.93
432,grenaa,51.25,59,54,20,25.28
433,astana,38.06,64.24,62,1,6.93
434,oban,-23.35,59.6,94,0,4.27
435,gol,41.28,50.96,75,44,1.36
436,general roca,10.07,58.7,96,44,2.48
437,pochutla,-7.75,64.37,90,36,1.92
438,racale,0.52,76.7,88,8,2.37
439,warqla,21.05,95,53,75,8.05
440,la macarena,53.8,51.05,80,92,12.88
441,margate,-20.16,68.24,62,0,10.76
442,yarmouth,-28.77,58.25,96,20,2.37
443,guekedou,16.58,77.15,95,92,8.86
444,derzhavinsk,14.89,76.43,75,48,2.59
445,grand-lahou,-23.49,89.21,59,48,4.61
446,zhelyabovka,-4.09,90.83,54,8,4.38
447,bojnurd,26.35,80.44,87,75,5.61
448,keita,37.93,32.96,79,0,1.92
449,bahraich,23.99,77,38,20,4.7
450,bousso,61.08,50.24,96,44,2.48
451,lahat,46.17,61.85,69,0,9.86
452,khalkhal,-28.65,62.6,67,40,8.05
453,havre-saint-pierre,14.69,89.3,55,0,8.97
454,chicama,52.89,55.06,66,20,26.4
455,san rafael,35.04,52.67,80,48,2.71
456,inuvik,-11.1,70.4,61,12,4.72
457,pemangkat,22.76,63.74,98,56,1.92
458,chachapoyas,43.58,46.37,94,8,3.27
459,falealupo,18.39,72.54,19,0,6.93
460,barawe,48.75,60.8,87,90,36.91
461,buritis,42.62,77.32,3,1,5.82
462,mersing,48.64,71.6,56,90,17.22
463,rantepao,-9.67,77,73,40,11.41
464,dharchula,6.12,75.98,100,92,11.43
465,palana,-2.02,82.55,100,0,9.98
466,bata,20.87,85.79,94,36,15.79
467,khandyga,-6.22,87.8,70,40,2.24
468,barra patuca,10.49,84.2,66,75,2.93
469,caravelas,43.57,64.91,100,48,10.98
470,narimanov,-34.04,51.8,81,0,6.93
471,suileng,30.04,81.95,87,90,3.36
472,el sauzal,70.86,50.58,62,0,16.11
473,zaraza,-33.73,78.78,16,0,5.82
474,portland,58.38,34.58,90,0,3.6
475,sao joao da barra,-25.34,87.8,43,0,4.7
476,hofn,16.66,69.23,97,92,1.81
477,monduli,43.37,63.41,100,75,3.36
478,susangerd,12.22,76.79,100,80,7.07
479,damme,1.23,75.53,79,32,3.6
480,hutchinson,-21.45,42.14,81,0,2.15
481,vangaindrano,30.83,76.79,88,0,7.29
482,poum,-9.91,90.56,57,32,2.37
483,eskasem,68.06,39.89,96,76,2.48
484,asosa,31.35,66.53,88,0,4.61
485,gondanglegi,46.17,61.83,93,0,1.12
486,kisangani,53.19,50.78,84,0,2.82
487,teya,28.52,76.7,54,0,2.59
488,westport,68.14,47.36,71,8,8.41
489,bulawayo,14.35,75.8,80,12,4.72
490,richards bay,8,65.36,97,24,1.92
491,amalapuram,64.86,49.21,91,90,5.61
492,tahoua,8.2,83.54,82,44,5.95
493,pozo colorado,-3.52,75.08,86,32,0.58
494,coari,-45.87,44.3,91,20,3.94
495,tartki,24.14,79.04,100,0,13
496,tsihombe,50.56,50.6,94,64,9.64
497,gushikawa,-26.11,80.3,82,0,2.04
498,wuwei,49.86,57.2,76,90,8.05
499,constitucion,68.54,34.67,96,92,3.27
500,vizinga,45.4,59.76,93,90,19.46
501,yashkul,55.31,55.4,93,0,4.47
502,byron bay,-13.74,59.33,43,32,2.82
503,awassa,62.49,56.43,93,80,10.29
504,gat,-33.53,80.39,47,0,4.94
505,westerland,35.88,66.78,93,90,14.99
506,zhicheng,-0.93,60.8,55,75,23.04
507,hualmay,16.99,87.8,66,40,9.17
508,simao,31.12,63.47,93,44,2.48
509,baishishan,-6.13,73.28,86,8,5.61
510,tonj,7.53,77.42,93,92,7.18
511,faya,38.68,83.25,62,1,13.87
512,macamic,-21.42,65.63,28,20,6.96
513,kyra,26.41,72.29,75,92,4.16
514,rupert,29.72,70.22,81,100,3.04
515,rawannawi,26,81.29,20,0,7.74
516,wanning,0.61,79.94,79,24,7.85
517,maceio,-29.14,86.06,48,0,5.61
518,hambantota,54.83,27.38,87,0,2.37
519,lorengau,67.8,4.7,56,32,2.71
520,celestun,-0.13,82.46,74,56,3.71
521,jacareacanga,65.73,35.48,100,92,3.83
522,moron,50.8,68,52,0,10.29
523,foz,45.18,56.26,100,75,1.12
524,knysna,43.37,44.3,87,32,5.39
525,nome,24.8,84.17,99,100,4.16
526,berlevag,49.75,59,77,0,6.93
527,buin,35.31,46.28,68,0,2.37
528,boguchany,49.22,40.97,99,92,13.78
529,gurgan,60.4,44.39,95,88,4.94
530,san lorenzo,41.59,69.3,93,0,2.24
531,diadi,61.56,46.4,93,80,13.87
532,a coruna,14.4,57.89,60,0,2.59
533,alugan,49.65,55.4,66,75,12.75
534,nizhnyaya pavlovka,39.49,78.8,69,0,1.12
535,basoko,-6.22,78.05,100,20,4.61
